RESERVES;Austria;;;;;Belgium;;;;;Bulgaria;;;;;Croatia;;;;;Cyprus;;;;;Czech Republic;;;;;Denmark;;;;;Estonia;;;;;Finland;;;;;France;;;;;Germany;;;;;Greece;;;;;Hungary;;;;;Ireland;;;;;Italy;;;;;Latvia;;;;;Lithuania;;;;;Luxembourg;;;;;Malta;;;;;Netherlands;;;;;Poland;;;;;Portugal;;;;;Romania;;;;;Slovakia;;;;;Slovenia;;;;;Spain;;;;;Sweden;;;;;United Kingdom;;;;
;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;;Gold;Gold;FX;Total ;
$US Millions;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;;Tonnes;US$;US$;US$;
2000-03-31;407,48;3626;14909;18535;;258,09;2296;10351;12648;;39,91;355;2561;2916;;0,00;0;2925;2925;;14,42;128;1883;2011;;13,87;123;12557;12680;;66,60;593;17234;17827;;0,25;2;728;730;;49,05;436;8059;8495;;3024,63;26913;38464;65377;;3468,60;30863;61721;92584;;132,03;1175;16252;17426;;3,14;28;10681;10709;;5,47;49;5256;5305;;2451,84;21816;25463;47279;;7,75;69;847;916;;5,79;52;1335;1386;;2,36;21;78;99;;0,19;2;1658;1660;;911,82;8113;9874;17987;;102,80;915;25292;26207;;606,70;5398;8545;13944;;103,67;922;1609;2532;;40,12;357;3672;4029;;0,01;0;3290;3290;;523,47;4658;33340;37997;;185,42;1650;14943;16593;;588,27;5234;29343;34578;
2000-06-30;407,48;3775;14498;18273;;258,09;2391;9549;11940;;39,92;370;2832;3202;;0,00;0;3237;3237;;14,43;134;2072;2206;;13,87;129;12990;13118;;66,60;617;15205;15822;;0,25;2;810;812;;49,05;454;7866;8320;;3024,63;28021;40876;68897;;3468,60;32134;59519;91653;;132,22;1225;14888;16113;;3,14;29;10503;10532;;5,47;51;5229;5280;;2451,84;22715;24646;47361;;7,74;72;832;904;;5,79;54;1377;1431;;2,36;22;77;99;;0,19;2;1631;1632;;911,82;8447;8936;17383;;102,83;953;25032;25984;;606,70;5621;8293;13914;;104,29;966;1883;2849;;40,12;372;4015;4387;;0,01;0;3142;3143;;523,47;4850;32743;37592;;184,42;1709;14540;16248;;562,93;5215;30892;36107;
2000-09-30;377,50;3321;14349;17670;;258,09;2271;9642;11913;;39,92;351;2671;3023;;0,00;0;3380;3380;;14,43;127;1883;2010;;13,87;122;12388;12510;;66,60;586;13849;14435;;0,25;2;770;772;;49,05;432;7798;8229;;3024,63;26611;36729;63340;;3468,60;30517;57751;88268;;132,38;1165;14100;15264;;3,14;28;10561;10589;;5,47;48;5208;5257;;2451,84;21572;26159;47730;;7,74;68;817;885;;5,79;51;1302;1353;;2,36;21;76;96;;0,19;2;1539;1541;;911,82;8022;9930;17952;;102,83;905;24511;25416;;606,70;5338;8525;13863;;104,54;920;2110;3029;;40,12;353;4166;4519;;0,01;0;2972;2972;;523,47;4606;32861;37466;;185,42;1631;14031;15662;;512,70;4511;32398;36909;
2000-12-31;377,50;3331;14319;17650;;258,09;2277;9994;12272;;39,92;352;3155;3507;;0,00;0;3524;3524;;14,44;127;1741;1869;;13,87;122;13019;13142;;66,60;588;15108;15696;;0,25;2;921;923;;49,05;433;7977;8410;;3024,63;26689;37039;63728;;3468,60;30606;56890;87497;;132,56;1170;13424;14594;;3,14;28;11190;11217;;5,47;48;5360;5408;;2451,84;21635;25567;47201;;7,74;68;851;919;;5,79;51;1312;1363;;2,36;21;77;97;;0,12;1;1470;1471;;911,79;8046;9643;17688;;102,83;907;26562;27469;;606,70;5353;8909;14262;;104,94;926;2470;3396;;40,12;354;4022;4376;;0,01;0;3196;3196;;523,44;4619;30989;35608;;185,42;1636;14863;16499;;487,50;4302;38774;43075;
2001-03-31;347,49;2879;12521;15400;;258,06;2138;10210;12348;;39,94;331;2790;3121;;0,00;0;3515;3515;;14,44;120;2025;2144;;13,84;115;12782;12896;;66,60;552;13257;13809;;0,25;2;738;740;;49,05;406;7629;8035;;3024,63;25060;37856;62916;;3468,60;28738;53411;82150;;123,04;1019;5453;6472;;3,14;26;10695;10721;;5,47;45;5345;5390;;2451,84;20314;25804;46118;;7,73;64;853;917;;5,79;48;1240;1288;;2,36;20;88;108;;0,12;1;1387;1388;;911,79;7554;9313;16868;;102,83;852;27146;27998;;606,70;5027;8799;13825;;105,00;870;2795;3665;;40,12;332;3808;4141;;0,01;0;3106;3106;;523,44;4337;32186;36523;;185,42;1536;13710;15246;;437,07;3621;34489;38111;
2001-06-30;347,49;3023;11683;14706;;258,06;2245;10262;12507;;39,97;348;2761;3109;;13,13;114;3684;3798;;14,44;126;2380;2506;;13,84;120;12698;12818;;66,60;579;13348;13927;;0,25;2;749;752;;49,05;427;7840;8266;;3024,63;26314;36731;63046;;3468,60;30177;51152;81329;;123,04;1070;5396;6466;;3,14;27;11485;11512;;5,47;48;5418;5466;;2451,84;21331;26099;47430;;7,73;67;867;935;;5,79;50;1408;1458;;2,36;21;103;124;;0,12;1;1393;1394;;909,80;7915;8639;16554;;102,83;895;26219;27114;;606,70;5278;8813;14091;;105,00;914;3554;4467;;35,12;306;3668;3974;;7,56;66;3553;3618;;523,44;4554;30036;34590;;185,42;1613;14368;15981;;415,99;3619;34973;38592;
2001-09-30;347,49;3275;12703;15978;;258,06;2432;11035;13466;;39,98;377;2820;3197;;0,00;0;4417;4417;;14,44;136;2501;2637;;13,81;130;13584;13714;;66,60;628;17375;18002;;0,25;2;766;769;;49,05;462;8158;8620;;3024,66;28503;35250;63753;;3456,56;32573;54018;86591;;123,04;1160;5627;6787;;3,14;30;11980;12010;;5,47;52;5633;5685;;2451,84;23105;25236;48341;;7,73;73;914;987;;5,79;55;1551;1606;;2,36;22;108;130;;0,12;1;1560;1561;;884,92;8339;9222;17561;;102,86;969;27332;28302;;606,73;5718;9465;15183;;105,07;990;3659;4649;;35,12;331;3798;4129;;7,56;71;3809;3881;;523,44;4933;31607;36539;;185,42;1747;12282;14029;;375,64;3540;35078;38618;
2001-12-31;347,49;3089;12509;15598;;258,06;2294;11266;13560;;39,97;355;3291;3646;;0,00;0;4703;4703;;14,43;128;2268;2396;;13,81;123;14341;14464;;66,59;592;17110;17702;;0,25;2;820;822;;49,05;436;7983;8419;;3024,63;26888;31749;58637;;3456,56;30728;51404;82132;;122,61;1090;5154;6244;;3,14;28;10727;10755;;5,47;49;5587;5635;;2451,84;21796;24419;46216;;7,73;69;1149;1217;;5,79;51;1618;1669;;2,36;21;106;127;;0,16;1;1666;1668;;884,51;7863;9034;16897;;102,89;915;25648;26563;;606,73;5394;9667;15060;;105,19;935;3923;4858;;35,12;312;4141;4453;;7,56;67;4330;4397;;523,44;4653;29582;34236;;185,42;1648;13977;15625;;355,25;3158;34189;37347;
2002-03-31;347,49;3367;12582;15950;;258,03;2500;10915;13416;;39,91;387;2924;3310;;0,00;0;4884;4884;;14,46;140;2799;2939;;13,78;134;14625;14759;;66,59;645;19875;20520;;0,25;2;859;861;;49,08;476;8050;8526;;3024,63;29310;29838;59148;;3448,17;33414;52015;85429;;122,64;1188;6242;7431;;3,14;30;9589;9619;;5,47;53;5229;5282;;2451,84;23759;23584;47343;;7,73;75;1130;1205;;5,79;56;1683;1739;;2,36;23;130;153;;0,14;1;1717;1718;;884,51;8571;9586;18158;;102,89;997;26054;27051;;606,73;5879;9899;15779;;105,19;1019;4074;5093;;35,12;340;4399;4740;;7,56;73;4521;4594;;523,44;5072;30682;35754;;185,42;1797;14591;16388;;314,48;3047;33603;36650;
